639881,1,10/11/2019,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639882,2,10/12/2019,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639883,3,10/01/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639884,4,28/02/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639885,5,10/03/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639886,6,10/04/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639887,7,10/05/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639888,8,10/06/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639889,9,10/07/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639890,10,10/08/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639891,11,10/09/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639892,12,10/10/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639893,13,10/11/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639894,14,10/12/2020,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639895,15,10/01/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639896,16,28/02/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639897,17,10/03/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639898,18,10/04/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639899,19,10/05/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639900,20,10/06/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639901,21,10/07/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639902,22,10/08/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639903,23,10/09/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639904,24,10/10/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639905,25,10/11/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
639906,26,10/12/2021,"R$ 1.000,00","R$ 0,00","R$ 1.000,00",Não
